"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apacpnut  ","P",01/03/2006 12:01,1,1,1         ,1         ,"",0.0010,<4>  ,0.018,<4>  ,0.0030,<4>  ,0.284,<4>  C                   ,0.287,<4>  ,5.25,<4>  ,
"apacpnut  ","P",01/03/2006 12:03,1,1,1         ,2         ,"",0.0020,<4>  ,0.016,<4>  ,0.0040,<4>  ,0.292,<4>  C                   ,0.296,<4>  ,4.23,<4>  ,
"apacpnut  ","P",02/01/2006 11:15,1,1,1         ,1         ,"",0.0020,<4>  ,0.021,<4>  ,0.0040,<4>  ,0.313,<4>  C                   ,0.317,<4>  ,3.93,<4>  ,
"apacpnut  ","P",02/01/2006 11:20,1,1,1         ,2         ,"",0.0020,<4>  ,0.022,<4>  ,0.0040,<4>  ,0.29,<4>  C                   ,0.294,<4>  ,3.84,<4>  ,
"apacpnut  ","P",03/01/2006 12:16,1,1,1         ,1         ,"",0.0020,<4>  ,0.036,<4>  ,0.0040,<4>  ,0.249,<4>  C                   ,0.253,<4>  ,2.13,<4>  ,
"apacpnut  ","P",03/01/2006 12:18,1,1,1         ,2         ,"",0.0010,<4>  ,0.035,<4>  ,0.0040,<4>  ,0.246,<4>  C                   ,0.25,<4>  ,1.79,<4>  ,
"apacpnut  ","P",04/04/2006 11:27,1,1,1         ,1         ,"",0.0020,<4>  ,0.083,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.198,<4>  ,4.68,<4>  ,
"apacpnut  ","P",04/04/2006 11:29,1,1,1         ,2         ,"",0.0020,<4>  ,0.083,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.224,<4>  ,4.74,<4>  ,
"apacpnut  ","P",05/02/2006 11:10,1,1,1         ,1         ,"","",<4>  M                   ,"",<4>  M                   ,"",<4>  K                   ,"",<4>  C - K               ,"",<4>  M                   ,"",<4>  M                   ,
"apacpnut  ","P",05/02/2006 11:12,1,1,1         ,2         ,"","",<4>  M                   ,"",<4>  M                   ,"",<4>  K                   ,"",<4>  C - K               ,"",<4>  M                   ,"",<4>  M                   ,
"apacpnut  ","P",06/07/2006 11:07,1,1,1         ,1         ,"","",<4>  M                   ,"",<4>  M                   ,"",<4>  K                   ,"",<4>  C - K               ,"",<4>  M                   ,"",<4>  M                   ,
"apacpnut  ","P",06/07/2006 11:10,1,1,1         ,2         ,"","",<4>  M                   ,"",<4>  M                   ,"",<4>  K                   ,"",<4>  C - K               ,"",<4>  M                   ,"",<4>  M                   ,
"apacpnut  ","P",07/05/2006 9:28,1,1,1         ,1         ,"","",<4>  M                   ,"",<4>  M                   ,"",<4>  K                   ,"",<4>  C - K               ,"",<4>  M                   ,"",<4>  M                   ,
"apacpnut  ","P",07/05/2006 9:30,1,1,1         ,2         ,"","",<4>  M                   ,"",<4>  M                   ,"",<4>  K                   ,"",<4>  C - K               ,"",<4>  M                   ,"",<4>  M                   ,
"apacpnut  ","P",08/08/2006 9:50,1,1,1         ,1         ,"",0.0060,<4>  ,0.01,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,10.55,<4>  ,
"apacpnut  ","P",08/08/2006 9:55,1,1,1         ,2         ,"",0.0060,<4>  ,0.01,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,10.3,<4>  ,
"apacpnut  ","P",09/06/2006 9:30,1,1,1         ,1         ,"",0.0020,<4>  ,0.05,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.019,<4>  ,7.82,<4>  ,
"apacpnut  ","P",09/06/2006 9:34,1,1,1         ,2         ,"",0.0020,<4>  ,0.051,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.021,<4>  ,6.88,<4>  ,
"apacpnut  ","P",10/03/2006 10:29,1,1,1         ,1         ,"",0.0060,<4>  ,0.046,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.015,<4>  ,2.31,<4>  ,
"apacpnut  ","P",10/03/2006 10:31,1,1,1         ,2         ,"",0.0070,<4>  ,0.034,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.012,<4>  ,2.73,<4>  ,
"apacpnut  ","P",11/01/2006 9:47,1,1,1         ,1         ,"",0.0090,<4>  ,0.03,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.018,<4>  ,1.62,<4>  ,
"apacpnut  ","P",11/01/2006 9:49,1,1,1         ,2         ,"",0.0090,<4>  ,0.03,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.013,<4>  ,1.5,<4>  ,
"apacpnut  ","P",11/28/2006 12:29,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.0040,<4>  B                   ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,4.91,<4>  ,
"apacpnut  ","P",11/28/2006 12:31,1,1,1         ,2         ,"",0.0010,<4>  ,0.0040,<4>  B                   ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,4.96,<4>  ,

