"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apacpnut  ","P",01/04/2005 10:46,1,1,1         ,1         ,"",0.0040,<4>  ,0.031,<4>  ,0.0020,<4>  ,0.014,<4>  C                   ,0.016,<4>  ,1.92,<4>  ,
"apacpnut  ","P",01/04/2005 10:49,1,1,1         ,2         ,"",0.0040,<4>  ,0.024,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.019,<4>  ,1.28,<4>  ,
"apacpnut  ","P",02/07/2005 11:17,1,1,1         ,1         ,"",0.0010,<4>  ,0.019,<4>  ,0.012,<4>  ,"",<4>  B - C               ,0.016,<4>  ,1.71,<4>  ,
"apacpnut  ","P",02/07/2005 11:19,1,1,1         ,2         ,"",0.0010,<4>  ,0.018,<4>  ,0.012,<4>  ,0.0080,<4>  C                   ,0.02,<4>  ,1.28,<4>  ,
"apacpnut  ","P",03/02/2005 12:55,1,1,1         ,1         ,"",0.0010,<4>  ,0.0040,<4>  ,0.024,<4>  ,0.184,<4>  C                   ,0.208,<4>  ,0.98,<4>  ,
"apacpnut  ","P",03/02/2005 12:58,1,1,1         ,2         ,"",0.0010,<4>  ,0.0090,<4>  ,0.018,<4>  ,0.18,<4>  C                   ,0.198,<4>  ,0.5,<4>  B                   ,
"apacpnut  ","P",04/04/2005 11:50,1,1,1         ,1         ,"",0.0050,<4>  ,0.046,<4>  ,0.024,<4>  ,0.252,<4>  C                   ,0.276,<4>  ,1.22,<4>  ,
"apacpnut  ","P",04/04/2005 11:52,1,1,1         ,2         ,"",0.0050,<4>  ,0.047,<4>  ,0.024,<4>  ,0.238,<4>  C                   ,0.262,<4>  ,0.96,<4>  ,
"apacpnut  ","P",05/02/2005 10:45,1,1,1         ,1         ,"",0.0050,<4>  ,0.031,<4>  ,0.01,<4>  ,0.222,<4>  C                   ,0.232,<4>  ,1.92,<4>  ,
"apacpnut  ","P",05/02/2005 10:47,1,1,1         ,2         ,"",0.0040,<4>  ,0.03,<4>  ,0.0090,<4>  ,0.235,<4>  C                   ,0.244,<4>  ,1.73,<4>  ,
"apacpnut  ","P",06/06/2005 10:08,1,1,1         ,1         ,"",0.0030,<4>  ,0.021,<4>  ,0.0080,<4>  ,0.279,<4>  C                   ,0.287,<4>  ,1.28,<4>  ,
"apacpnut  ","P",06/06/2005 10:10,1,1,1         ,2         ,"",0.0040,<4>  ,0.022,<4>  ,0.0080,<4>  ,0.282,<4>  C                   ,0.29,<4>  ,2.13,<4>  ,
"apacpnut  ","P",08/09/2005 9:28,1,1,1         ,1         ,"",0.0020,<4>  ,0.031,<4>  ,0.0030,<4>  ,0.147,<4>  C                   ,0.15,<4>  ,1.71,<4>  ,
"apacpnut  ","P",08/09/2005 9:31,1,1,1         ,2         ,"",0.0020,<4>  ,0.034,<4>  ,0.0030,<4>  ,0.137,<4>  C                   ,0.14,<4>  ,1.28,<4>  ,
"apacpnut  ","P",09/08/2005 9:25,1,1,1         ,1         ,"",0.0010,<4>  ,0.079,<4>  ,0.0040,<4>  S                   ,"",<4>  B - C - N - S       ,0.0070,<4>  B - S               ,2.56,<4>  ,
"apacpnut  ","P",09/08/2005 9:28,1,1,1         ,2         ,"",0.0010,<4>  ,0.086,<4>  ,0.0040,<4>  S                   ,"",<4>  B - C - N - S       ,0.0070,<4>  B - S               ,2.56,<4>  ,
"apacpnut  ","P",10/03/2005 9:25,1,1,1         ,1         ,"",0.0010,<4>  ,0.04,<4>  ,0.0030,<4>  ,"",<4>  B - C               ,0.0070,<4>  B                   ,2.56,<4>  ,
"apacpnut  ","P",10/03/2005 9:27,1,1,1         ,2         ,"",0.0010,<4>  ,0.042,<4>  ,0.0030,<4>  ,0.012,<4>  C                   ,0.015,<4>  ,2.56,<4>  ,
"apacpnut  ","P",11/08/2005 11:10,1,1,1         ,1         ,"",0.0020,<4>  ,0.0090,<4>  ,0.0020,<4>  ,0.099,<4>  C                   ,0.101,<4>  ,1.28,<4>  ,
"apacpnut  ","P",11/08/2005 11:12,1,1,1         ,2         ,"",0.0020,<4>  ,0.0080,<4>  ,0.0020,<4>  ,0.036,<4>  C                   ,0.038,<4>  ,0.85,<4>  ,
"apacpnut  ","P",11/29/2005 13:45,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.0040,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.0070,<4>  B                   ,1.28,<4>  ,
"apacpnut  ","P",11/29/2005 13:47,1,1,1         ,2         ,"",0.0010,<4>  B                   ,0.0040,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.0070,<4>  B                   ,1.28,<4>  ,

